CodigoVariable,FechaHora,CodigoDuracion,UnidadMedida,Version,Valor
PB_Int,2025-12-11 01:00:00,PT1H,COP/kWh,TX1,102.0
PB_Int,2025-12-11 09:00:00,PT1H,COP/kWh,TX1,230.0
PB_Nal,2025-12-11 05:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Nal,2025-12-11 23:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Nal,2025-12-11 16:00:00,PT1H,COP/kWh,TX1,299.7597
PB_Tie,2025-12-11 16:00:00,PT1H,COP/kWh,TX1,299.0
PB_Int,2025-12-11 12:00:00,PT1H,COP/kWh,TX1,230.0
PB_Tie,2025-12-11 08:00:00,PT1H,COP/kWh,TX1,230.0
PB_Tie,2025-12-11 18:00:00,PT1H,COP/kWh,TX1,550.0
PB_Int,2025-12-11 04:00:00,PT1H,COP/kWh,TX1,102.0
PB_Int,2025-12-11 08:00:00,PT1H,COP/kWh,TX1,230.0
PB_Tie,2025-12-11 05:00:00,PT1H,COP/kWh,TX1,230.0
PB_Tie,2025-12-11 10:00:00,PT1H,COP/kWh,TX1,230.0
PB_Tie,2025-12-11 22:00:00,PT1H,COP/kWh,TX1,290.0
PB_Int,2025-12-11 05:00:00,PT1H,COP/kWh,TX1,230.0
PB_Tie,2025-12-11 07:00:00,PT1H,COP/kWh,TX1,230.0
PB_Nal,2025-12-11 12:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Tie,2025-12-11 03:00:00,PT1H,COP/kWh,TX1,102.0
PB_Tie,2025-12-11 12:00:00,PT1H,COP/kWh,TX1,230.0
PB_Int,2025-12-11 20:00:00,PT1H,COP/kWh,TX1,300.0
PB_Int,2025-12-11 06:00:00,PT1H,COP/kWh,TX1,230.0
PB_Tie,2025-12-11 20:00:00,PT1H,COP/kWh,TX1,300.0
PB_Int,2025-12-11 13:00:00,PT1H,COP/kWh,TX1,230.0
PB_Nal,2025-12-11 22:00:00,PT1H,COP/kWh,TX1,269.7597
PB_Int,2025-12-11 03:00:00,PT1H,COP/kWh,TX1,102.0
PB_Int,2025-12-11 11:00:00,PT1H,COP/kWh,TX1,230.0
PB_Nal,2025-12-11 18:00:00,PT1H,COP/kWh,TX1,309.7597
PB_Tie,2025-12-11 06:00:00,PT1H,COP/kWh,TX1,230.0
PB_Nal,2025-12-11 00:00:00,PT1H,COP/kWh,TX1,111.7597
PB_Nal,2025-12-11 06:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Nal,2025-12-11 09:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Tie,2025-12-11 21:00:00,PT1H,COP/kWh,TX1,299.0
PB_Int,2025-12-11 15:00:00,PT1H,COP/kWh,TX1,290.0
PB_Nal,2025-12-11 10:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Nal,2025-12-11 20:00:00,PT1H,COP/kWh,TX1,308.7597
PB_Nal,2025-12-11 13:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Int,2025-12-11 19:00:00,PT1H,COP/kWh,TX1,300.0
PB_Int,2025-12-11 02:00:00,PT1H,COP/kWh,TX1,102.0
PB_Int,2025-12-11 21:00:00,PT1H,COP/kWh,TX1,299.0
PB_Tie,2025-12-11 11:00:00,PT1H,COP/kWh,TX1,230.0
PB_Nal,2025-12-11 21:00:00,PT1H,COP/kWh,TX1,299.7597
PB_Tie,2025-12-11 04:00:00,PT1H,COP/kWh,TX1,102.0
PB_Tie,2025-12-11 19:00:00,PT1H,COP/kWh,TX1,300.0
PB_Nal,2025-12-11 17:00:00,PT1H,COP/kWh,TX1,308.7597
PB_Nal,2025-12-11 15:00:00,PT1H,COP/kWh,TX1,269.7597
PB_Int,2025-12-11 18:00:00,PT1H,COP/kWh,TX1,550.0
PB_Tie,2025-12-11 17:00:00,PT1H,COP/kWh,TX1,299.0
PB_Tie,2025-12-11 13:00:00,PT1H,COP/kWh,TX1,230.0
PB_Nal,2025-12-11 19:00:00,PT1H,COP/kWh,TX1,308.7597
PB_Tie,2025-12-11 14:00:00,PT1H,COP/kWh,TX1,260.0
PB_Int,2025-12-11 16:00:00,PT1H,COP/kWh,TX1,299.0
PB_Int,2025-12-11 07:00:00,PT1H,COP/kWh,TX1,230.0
PB_Tie,2025-12-11 01:00:00,PT1H,COP/kWh,TX1,102.0
PB_Int,2025-12-11 17:00:00,PT1H,COP/kWh,TX1,299.0
PB_Int,2025-12-11 14:00:00,PT1H,COP/kWh,TX1,260.0
PB_Nal,2025-12-11 03:00:00,PT1H,COP/kWh,TX1,111.7597
PB_Nal,2025-12-11 08:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Nal,2025-12-11 01:00:00,PT1H,COP/kWh,TX1,111.7597
PB_Int,2025-12-11 22:00:00,PT1H,COP/kWh,TX1,290.0
PB_Nal,2025-12-11 02:00:00,PT1H,COP/kWh,TX1,111.7597
PB_Nal,2025-12-11 07:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Nal,2025-12-11 04:00:00,PT1H,COP/kWh,TX1,111.7597
PB_Tie,2025-12-11 00:00:00,PT1H,COP/kWh,TX1,103.0
PB_Int,2025-12-11 00:00:00,PT1H,COP/kWh,TX1,103.0
PB_Tie,2025-12-11 23:00:00,PT1H,COP/kWh,TX1,230.0
PB_Tie,2025-12-11 02:00:00,PT1H,COP/kWh,TX1,102.0
PB_Tie,2025-12-11 15:00:00,PT1H,COP/kWh,TX1,290.0
PB_Tie,2025-12-11 09:00:00,PT1H,COP/kWh,TX1,230.0
PB_Nal,2025-12-11 14:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Int,2025-12-11 23:00:00,PT1H,COP/kWh,TX1,230.0
PB_Int,2025-12-11 10:00:00,PT1H,COP/kWh,TX1,230.0
PB_Nal,2025-12-11 11:00:00,PT1H,COP/kWh,TX1,239.7597
PB_Int,2025-12-07 15:00:00,PT1H,COP/kWh,TX1,210.523
PB_Nal,2025-12-07 08:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Nal,2025-12-07 11:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Tie,2025-12-07 01:00:00,PT1H,COP/kWh,TX1,210.523
PB_Tie,2025-12-07 17:00:00,PT1H,COP/kWh,TX1,220.0
PB_Nal,2025-12-07 13:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Nal,2025-12-07 22:00:00,PT1H,COP/kWh,TX1,223.0579
PB_Tie,2025-12-07 21:00:00,PT1H,COP/kWh,TX1,210.523
PB_Tie,2025-12-07 03:00:00,PT1H,COP/kWh,TX1,103.243
PB_Nal,2025-12-07 07:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Int,2025-12-07 17:00:00,PT1H,COP/kWh,TX1,220.0
PB_Nal,2025-12-07 15:00:00,PT1H,COP/kWh,TX1,211.5349
PB_Int,2025-12-07 01:00:00,PT1H,COP/kWh,TX1,210.523
PB_Tie,2025-12-07 05:00:00,PT1H,COP/kWh,TX1,199.0
PB_Nal,2025-12-07 03:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Tie,2025-12-07 07:00:00,PT1H,COP/kWh,TX1,94.562
PB_Int,2025-12-07 22:00:00,PT1H,COP/kWh,TX1,210.523
PB_Nal,2025-12-07 05:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Tie,2025-12-07 00:00:00,PT1H,COP/kWh,TX1,210.523
PB_Int,2025-12-07 06:00:00,PT1H,COP/kWh,TX1,103.243
PB_Int,2025-12-07 05:00:00,PT1H,COP/kWh,TX1,199.0
PB_Int,2025-12-07 04:00:00,PT1H,COP/kWh,TX1,103.243
PB_Nal,2025-12-07 18:00:00,PT1H,COP/kWh,TX1,232.5349
PB_Nal,2025-12-07 06:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Tie,2025-12-07 23:00:00,PT1H,COP/kWh,TX1,210.523
PB_Nal,2025-12-07 16:00:00,PT1H,COP/kWh,TX1,223.0579
PB_Int,2025-12-07 16:00:00,PT1H,COP/kWh,TX1,210.523
PB_Tie,2025-12-07 18:00:00,PT1H,COP/kWh,TX1,220.0
PB_Tie,2025-12-07 12:00:00,PT1H,COP/kWh,TX1,94.562
PB_Tie,2025-12-07 22:00:00,PT1H,COP/kWh,TX1,210.523
PB_Tie,2025-12-07 20:00:00,PT1H,COP/kWh,TX1,210.523
PB_Int,2025-12-07 02:00:00,PT1H,COP/kWh,TX1,210.523
PB_Tie,2025-12-07 16:00:00,PT1H,COP/kWh,TX1,210.523
PB_Tie,2025-12-07 08:00:00,PT1H,COP/kWh,TX1,94.562
PB_Int,2025-12-07 07:00:00,PT1H,COP/kWh,TX1,94.562
PB_Int,2025-12-07 21:00:00,PT1H,COP/kWh,TX1,210.523
PB_Nal,2025-12-07 19:00:00,PT1H,COP/kWh,TX1,232.5349
PB_Nal,2025-12-07 23:00:00,PT1H,COP/kWh,TX1,223.0579
PB_Int,2025-12-07 13:00:00,PT1H,COP/kWh,TX1,101.004
PB_Int,2025-12-07 00:00:00,PT1H,COP/kWh,TX1,210.523
PB_Nal,2025-12-07 12:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Nal,2025-12-07 02:00:00,PT1H,COP/kWh,TX1,115.7779
PB_Int,2025-12-07 20:00:00,PT1H,COP/kWh,TX1,210.523
PB_Tie,2025-12-07 14:00:00,PT1H,COP/kWh,TX1,199.0
PB_Tie,2025-12-07 11:00:00,PT1H,COP/kWh,TX1,94.562
PB_Tie,2025-12-07 09:00:00,PT1H,COP/kWh,TX1,94.562
PB_Tie,2025-12-07 04:00:00,PT1H,COP/kWh,TX1,103.243
PB_Tie,2025-12-07 10:00:00,PT1H,COP/kWh,TX1,94.562
PB_Tie,2025-12-07 06:00:00,PT1H,COP/kWh,TX1,103.243
PB_Nal,2025-12-07 14:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Nal,2025-12-07 04:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Tie,2025-12-07 19:00:00,PT1H,COP/kWh,TX1,220.0
PB_Int,2025-12-07 11:00:00,PT1H,COP/kWh,TX1,94.562
PB_Int,2025-12-07 03:00:00,PT1H,COP/kWh,TX1,103.243
PB_Int,2025-12-07 18:00:00,PT1H,COP/kWh,TX1,220.0
PB_Nal,2025-12-07 21:00:00,PT1H,COP/kWh,TX1,223.0579
PB_Nal,2025-12-07 20:00:00,PT1H,COP/kWh,TX1,223.0579
PB_Tie,2025-12-07 02:00:00,PT1H,COP/kWh,TX1,210.523
PB_Int,2025-12-07 08:00:00,PT1H,COP/kWh,TX1,94.562
PB_Int,2025-12-07 14:00:00,PT1H,COP/kWh,TX1,199.0
PB_Int,2025-12-07 09:00:00,PT1H,COP/kWh,TX1,94.562
PB_Nal,2025-12-07 10:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Tie,2025-12-07 15:00:00,PT1H,COP/kWh,TX1,210.523
PB_Nal,2025-12-07 17:00:00,PT1H,COP/kWh,TX1,232.5349
PB_Int,2025-12-07 23:00:00,PT1H,COP/kWh,TX1,210.523
PB_Nal,2025-12-07 01:00:00,PT1H,COP/kWh,TX1,223.0579
PB_Int,2025-12-07 10:00:00,PT1H,COP/kWh,TX1,94.562
PB_Nal,2025-12-07 09:00:00,PT1H,COP/kWh,TX1,107.0969
PB_Int,2025-12-07 12:00:00,PT1H,COP/kWh,TX1,94.562
PB_Nal,2025-12-07 00:00:00,PT1H,COP/kWh,TX1,223.0579
PB_Int,2025-12-07 19:00:00,PT1H,COP/kWh,TX1,220.0
PB_Tie,2025-12-07 13:00:00,PT1H,COP/kWh,TX1,101.004
PB_Nal,2025-12-02 13:00:00,PT1H,COP/kWh,TX1,289.5863
PB_Tie,2025-12-02 20:00:00,PT1H,COP/kWh,TX1,310.0
PB_Nal,2025-12-02 10:00:00,PT1H,COP/kWh,TX1,284.4463
PB_Int,2025-12-02 09:00:00,PT1H,COP/kWh,TX1,279.86
PB_Int,2025-12-02 02:00:00,PT1H,COP/kWh,TX1,101.004
PB_Nal,2025-12-02 05:00:00,PT1H,COP/kWh,TX1,105.5903
PB_Nal,2025-12-02 04:00:00,PT1H,COP/kWh,TX1,105.5903
PB_Tie,2025-12-02 04:00:00,PT1H,COP/kWh,TX1,101.004
PB_Tie,2025-12-02 09:00:00,PT1H,COP/kWh,TX1,279.86
PB_Nal,2025-12-02 07:00:00,PT1H,COP/kWh,TX1,284.4463
PB_Tie,2025-12-02 03:00:00,PT1H,COP/kWh,TX1,100.858
PB_Nal,2025-12-02 15:00:00,PT1H,COP/kWh,TX1,309.5863
PB_Tie,2025-12-02 23:00:00,PT1H,COP/kWh,TX1,279.86
PB_Int,2025-12-02 21:00:00,PT1H,COP/kWh,TX1,305.0
PB_Int,2025-12-02 12:00:00,PT1H,COP/kWh,TX1,279.86
PB_Nal,2025-12-02 14:00:00,PT1H,COP/kWh,TX1,309.5863
PB_Nal,2025-12-02 01:00:00,PT1H,COP/kWh,TX1,105.5903
PB_Nal,2025-12-02 20:00:00,PT1H,COP/kWh,TX1,314.5863
PB_Tie,2025-12-02 13:00:00,PT1H,COP/kWh,TX1,285.0
PB_Int,2025-12-02 18:00:00,PT1H,COP/kWh,TX1,310.0
PB_Int,2025-12-02 13:00:00,PT1H,COP/kWh,TX1,285.0
PB_Tie,2025-12-02 10:00:00,PT1H,COP/kWh,TX1,279.86
PB_Nal,2025-12-02 18:00:00,PT1H,COP/kWh,TX1,314.5863
PB_Tie,2025-12-02 11:00:00,PT1H,COP/kWh,TX1,279.86
PB_Int,2025-12-02 04:00:00,PT1H,COP/kWh,TX1,101.004
PB_Nal,2025-12-02 03:00:00,PT1H,COP/kWh,TX1,105.4443
PB_Nal,2025-12-02 21:00:00,PT1H,COP/kWh,TX1,309.5863
PB_Int,2025-12-02 05:00:00,PT1H,COP/kWh,TX1,101.004
PB_Tie,2025-12-02 01:00:00,PT1H,COP/kWh,TX1,101.004
PB_Tie,2025-12-02 07:00:00,PT1H,COP/kWh,TX1,279.86
PB_Int,2025-12-02 03:00:00,PT1H,COP/kWh,TX1,100.858
PB_Int,2025-12-02 22:00:00,PT1H,COP/kWh,TX1,286.0
PB_Nal,2025-12-02 02:00:00,PT1H,COP/kWh,TX1,105.5903
PB_Tie,2025-12-02 17:00:00,PT1H,COP/kWh,TX1,310.0
PB_Nal,2025-12-02 17:00:00,PT1H,COP/kWh,TX1,314.5863
PB_Tie,2025-12-02 14:00:00,PT1H,COP/kWh,TX1,305.0
PB_Tie,2025-12-02 15:00:00,PT1H,COP/kWh,TX1,305.0
PB_Int,2025-12-02 14:00:00,PT1H,COP/kWh,TX1,305.0
PB_Int,2025-12-02 17:00:00,PT1H,COP/kWh,TX1,310.0
PB_Tie,2025-12-02 08:00:00,PT1H,COP/kWh,TX1,279.86
PB_Nal,2025-12-02 19:00:00,PT1H,COP/kWh,TX1,314.5863
PB_Nal,2025-12-02 22:00:00,PT1H,COP/kWh,TX1,290.5863
PB_Int,2025-12-02 11:00:00,PT1H,COP/kWh,TX1,279.86
PB_Tie,2025-12-02 21:00:00,PT1H,COP/kWh,TX1,305.0
PB_Tie,2025-12-02 18:00:00,PT1H,COP/kWh,TX1,310.0
PB_Tie,2025-12-02 00:00:00,PT1H,COP/kWh,TX1,101.004
PB_Int,2025-12-02 23:00:00,PT1H,COP/kWh,TX1,279.86
PB_Int,2025-12-02 00:00:00,PT1H,COP/kWh,TX1,101.004
PB_Tie,2025-12-02 06:00:00,PT1H,COP/kWh,TX1,269.0
PB_Nal,2025-12-02 08:00:00,PT1H,COP/kWh,TX1,284.4463
PB_Nal,2025-12-02 16:00:00,PT1H,COP/kWh,TX1,314.5863
PB_Nal,2025-12-02 06:00:00,PT1H,COP/kWh,TX1,273.5863
PB_Int,2025-12-02 08:00:00,PT1H,COP/kWh,TX1,279.86
PB_Int,2025-12-02 01:00:00,PT1H,COP/kWh,TX1,101.004
PB_Int,2025-12-02 16:00:00,PT1H,COP/kWh,TX1,310.0
PB_Tie,2025-12-02 12:00:00,PT1H,COP/kWh,TX1,279.86
PB_Tie,2025-12-02 22:00:00,PT1H,COP/kWh,TX1,286.0
PB_Int,2025-12-02 15:00:00,PT1H,COP/kWh,TX1,305.0
PB_Int,2025-12-02 10:00:00,PT1H,COP/kWh,TX1,279.86
PB_Tie,2025-12-02 05:00:00,PT1H,COP/kWh,TX1,101.004
PB_Int,2025-12-02 19:00:00,PT1H,COP/kWh,TX1,310.0
PB_Tie,2025-12-02 02:00:00,PT1H,COP/kWh,TX1,101.004
PB_Nal,2025-12-02 00:00:00,PT1H,COP/kWh,TX1,105.5903
PB_Tie,2025-12-02 16:00:00,PT1H,COP/kWh,TX1,310.0
PB_Nal,2025-12-02 11:00:00,PT1H,COP/kWh,TX1,284.4463
